"Word","V1"
"party",-0.173602523169758
"reading",-0.17311297693417
"told",-0.171179809703024
"price",-0.170041973283912
"intro'",-0.169704697114283
"petraeus",-0.168931932658159
"downgrade",-0.168264184497507
"include",-0.166863864074196
"nuclear",-0.166743220396404
"@barackobama",-0.166418332895692
"beautiful",-0.166276090156823
"lame",-0.166030498581706
"broken",-0.165599842653768
"photos",-0.165103073556758
"staff",-0.164801722229863
"sit",-0.164579667935678
"anniversary",-0.164401229012845
"huge",-0.164319905462391
"#energy",-0.164148106528128
"hands",-0.162796836671448
"safe.",-0.162733672365332
"gov",-0.162233467041605
"tucson",-0.161307830294861
"families,",-0.161177821317612
"serve",-0.160143104134612
"justice.",-0.15985320733088
"dad",-0.157995968165523
"according",-0.157909064642012
"transition",-0.157903635794585
"approves",-0.15530426155495
"filing",-0.154925740356616
"@sengillibrand",-0.154655055160062
"world.",-0.154505314715464
"online:",-0.154319630992134
"sat",-0.154049462645562
"(-ia)",-0.153741434901642
"hutchison",-0.152597392840729
"booth",-0.152596168212721
"baseball",-0.15245240011708
"provide",-0.150701000010759
"saves",-0.150628083614432
"unanimously",-0.150542224252055
"toomey",-0.150463047636717
"roundtable",-0.150314538618551
"fwd",-0.150281331221366
"budget",-0.148876124873259
"military",-0.148568117436052
"repealing",-0.148389260750966
"data",-0.147902774545754
"help.",-0.14620248661878
"1,000",-0.146154093995036
"@ussoccer_wnt",-0.14356283902381
"lee",-0.143185397433108
"education,",-0.143120121075639
"#ohio",-0.142535370219869
"reckless",-0.141204905725719
"shutdown",-0.141188556944792
"#sharedsacrifice",-0.141133511122166
"@chuckschumer",-0.141112890242056
"kids",-0.140827902074218
"tax",-0.140646646015082
"1:30",-0.140361926859543
"9am",-0.139581171313295
"newark",-0.139130998023501
"intel",-0.138418492488723
"especially",-0.138384136910918
"panetta",-0.138352092195428
"12:30",-0.138150772743786
"innovation",-0.138036612244175
"econ",-0.135326227097679
"anchorage.",-0.133937265348997
"breast",-0.133877821709192
"students",-0.133359659871417
"clean",-0.133200511011836
"seniors,",-0.132503907987616
"nat'",-0.132103009658622
"warner'",-0.131606245583648
"walk",-0.131323094135098
"question",-0.129567043056834
"bush",-0.129548871190885
"research",-0.128899962285494
"grateful",-0.12883961338912
"caused",-0.127894500746264
"table",-0.127714847401837
"program.",-0.12741610936364
"east",-0.127174805159819
"noon",-0.127051082373299
"shut",-0.127041437389391
"marine",-0.126361603300749
"kyl",-0.126118421361124
"workers",-0.125714165836143
"parish",-0.125184166637865
"annual",-0.125067331363917
"driving",-0.124280909262033
"invited",-0.123763467202989
"compromise",-0.122940275552677
"columbia",-0.12218350426546
"restore",-0.122076083803054
"excessive",-0.121764883050403
"team",-0.121085611004621
"kill",-0.120724656537918
"move",-0.120718452768395
"flag",-0.120278784898218
"marylanders",-0.120258316893109
"technology",-0.119425276907887
"services",-0.119176438405948
"$4b",-0.118829743808953
"faa",-0.118771405493353
"measure",-0.118283396877303
"held",-0.117970282923986
"chris",-0.117662338145069
"wisconsin",-0.116578661919033
"fairness",-0.11624003257364
"begin",-0.116058611503982
"@senatorbegich",-0.11431239692187
"tomorrow,",-0.114007677021324
"privacy",-0.113441496302743
"colorado",-0.112853579998092
"local",-0.112816310445288
"soldiers",-0.112600348155449
"defend",-0.112519865923873
"helps",-0.111959444454584
"flood",-0.111589684576763
"@senatorcollins",-0.111489313100162
"momentarily",-0.111417205687664
"civilian",-0.111295632238886
"star",-0.111208379021878
"hudson",-0.110822410217298
"club",-0.110446494036919
"-staff",-0.110251592234058
"#jobs.",-0.110037449474218
"teachers",-0.110004656426178
"@usedgov",-0.109644328597287
"fought",-0.109106040883107
"lives.",-0.108712298219579
"medicare.",-0.108318576194566
"unacceptable.",-0.107687800450146
"worse",-0.106304254985674
"protecting",-0.105761180491767
"rights.",-0.10558771390384
"appreciate",-0.105452776220674
"lose",-0.105189382303432
"#deficit",-0.105112204007682
"plsd",-0.104759795055461
"included",-0.104700718562232
"transit",-0.104431042987419
"update:",-0.10390988687126
"helping",-0.103900913075659
"irresponsible",-0.103105292307981
"date",-0.102904699318614
"native",-0.102817735538279
"colleges",-0.10169218207128
"cosponsor",-0.101548611821437
"cuts,",-0.10120463827635
"children'",-0.100881443935607
"rate",-0.100597807816788
"springs",-0.0998944906622132
"miss",-0.0989424055423789
"thank",-0.0988454461462372
"beyond",-0.0988124863965057
"impressive",-0.0987634150440125
"explain",-0.0981227843710606
"thursday",-0.0977056817397878
"#cnn",-0.097570440417132
"wealthy",-0.0975531530642147
"throughout",-0.0974448436369844
"solutions",-0.0973809693475985
"hearing,",-0.0972060269820655
"benefit",-0.0969501756502765
"corporations",-0.0965425037961333
"ultimate",-0.0964874597510098
"jobs,",-0.0960008633241228
"keynote",-0.0954829303092195
"award",-0.0952441394876796
"received",-0.0950342076419687
"powers",-0.0947916445590933
"alaska'",-0.0946260137092031
"post:",-0.0945963293635657
"pictures",-0.0943214685213141
"5pm",-0.09383855678145
"tmrw",-0.0934260487819137
"medicare,",-0.0921793647357713
"history.",-0.0917046360983874
"police",-0.0906613001338401
"create",-0.0902706509487557
"dedication",-0.0902122410130407
"fall",-0.0897271858345065
"smart",-0.0893083119839504
"saddened",-0.0891919622576865
"hours",-0.0889641349732717
"tomorrow'",-0.0883436764982842
"blog",-0.0883012403408536
"dinner",-0.0882084023318559
"middle",-0.0877306519979333
"generations",-0.0873084232159206
"@nasa",-0.087131818639081
"epa",-0.0861762899078659
"participate",-0.085795806788564
"pleasure",-0.0857783851551118
"russell",-0.0857508680652422
"letter",-0.0856627408414755
"#potus",-0.0856250175271334
"@whitehouse",-0.0852638696686448
"martin",-0.0841164518689964
"sharing",-0.0839494191587383
"fixing",-0.0838676143048998
"time",-0.0836327279669009
"deal",-0.0832306191511184
"advanced",-0.0829930529515069
"biz,",-0.0827250662459209
"@maddow",-0.0823657931712567
"food",-0.0823321046979756
"treaty",-0.0815855104769908
"strong",-0.0814823540396275
"cut,",-0.0814460472327889
"story:",-0.0808889062670382
"hearing:",-0.0807639190545019
"panel",-0.0801061230108373
"free",-0.0800316271440841
"despite",-0.0799729271068936
"delegation",-0.0795488031070642
"ignoring",-0.0790662150669968
"affairs",-0.0788283290252313
"social",-0.0787177431838676
"comes",-0.0786963403897189
"sessions",-0.0785059767754001
"means",-0.0783649466336954
"remembrance",-0.0781443734658104
"leads",-0.0781099885206169
"pics",-0.0780822923586664
"vets.",-0.077634623437322
"summit",-0.0774420627750122
"putting",-0.0773584755327689
"wsj",-0.0765267081760904
"wins",-0.0763882352164002
"hopefully",-0.0763732661638752
"honor",-0.076056723299109
"homeowners",-0.075752371447863
"icymi,",-0.0756989525746578
"photo:",-0.0752001840286219
"navy",-0.0746111877503181
"appropriations",-0.0744687017188045
"priority",-0.0744562602453594
"continued",-0.073255128941817
"homes",-0.0732051781802257
"udall",-0.0730240757223355
"@senatorsanders",-0.0729351124704546
"email",-0.0725954059575297
"flr",-0.0725915750327273
"opposition",-0.0725671187939523
"speak",-0.07225883099534
"sens",-0.0721855936599574
"lower",-0.0718624836173595
"holds",-0.0716239283896272
"teacher",-0.0712207230841691
"severe",-0.0711367836018519
"hurting",-0.07064152005537
"education.",-0.0702933752322387
"hearing.",-0.0702592765164883
"economy",-0.0699851463311094
"equality",-0.069826430387531
"hearings",-0.0690132848582646
"healthcare",-0.0688708050244454
"gop'",-0.0687811297012606
"nat’",-0.0687088918945819
"#oil",-0.0680753352289403
"outside",-0.0680235670257025
"pushing",-0.0675572215148657
"reducing",-0.0675301721548738
"stabenow",-0.0668801511418358
"crack",-0.066757737118155
"friend",-0.0661822724813763
"overseas",-0.0661517942961325
"chairing",-0.0661491627223614
"#vt",-0.0660282538317307
"drunk",-0.0657784170734597
"provides",-0.0656941050139096
"investigation",-0.0656750416123507
"near",-0.0655911858135953
"headed",-0.0653355404485122
"help",-0.0646392928711816
"reached",-0.0633501042104512
"deserved",-0.0631189210065064
"god",-0.0630496961987638
"deficit,",-0.0630285686047863
"zone",-0.0621933025044921
"table.",-0.0621507148275419
"loved",-0.0620291703153263
"join",-0.0618837578582935
"project.",-0.0618395228152283
"hhs",-0.0617161774646873
"recognize",-0.0615983110593732
"york",-0.0612363216409411
"#egypt",-0.0611354008176909
"air",-0.0609020022870968
"starts",-0.0602141617971002
"grants",-0.0597408959440617
"payments",-0.0592985126823987
"intelligence",-0.0591307344972007
"info:",-0.0589966484776276
"experts",-0.0588565914400481
"children",-0.0587186025795758
"tells",-0.0586402277421655
"served",-0.0582881513271854
"savings",-0.0582729587476252
"2:30",-0.0581465726390447
"route",-0.0567534929770295
"perfect",-0.056663097710039
"firefighters",-0.0555065423206099
"closer",-0.0552151034963756
