"Word","V1"
"pushing",-0.0328464389715963
"headed",-0.0326006112564368
"nat’",-0.0323926687907949
"#potus",-0.0321719449613685
"thank",-0.0320856049054715
"martin",-0.0318308346080344
"provides",-0.0318012600769189
"sen.",-0.0316115278946558
"loved",-0.0313245107299392
"deal",-0.0312752484731084
"stabenow",-0.030773285583173
"police",-0.0306593539375477
"priority",-0.0306503130536621
"education.",-0.0304674958824292
"speak",-0.0304023643196892
"data",-0.0303153624571155
"food",-0.0301943156184375
"kids",-0.0301844288258195
"created",-0.0300339050960184
"grants",-0.0298754735737564
"equality",-0.0286200409518712
"defend",-0.0285757538252535
"tells",-0.028559727796309
"watch:",-0.0281088560821811
"zone",-0.0274737826697075
"served",-0.0265782006069184
"holds",-0.0264150466797822
"date",-0.0263571184636373
"teacher",-0.0263453720508764
"crack",-0.0262754080396486
"solutions",-0.0260765816401025
"epa",-0.025697641488227
"panel",-0.0255274162361264
"blog",-0.0250420412579667
"help",-0.0247208037568237
"york",-0.0238142702831462
"club",-0.0236185640978608
"dinner",-0.0235925753014413
"standards",-0.0235518767373264
"students:",-0.0234941814219007
"affairs",-0.0232338625753598
"chairing",-0.0231069691601243
"dedication",-0.0225973063630449
"hhs",-0.022577445976496
"firefighters",-0.0221076504095531
"savings",-0.0211686836768381
"hurting",-0.0209900130422674
"udall",-0.0208883950254267
"millionaires",-0.0206931621395618
"join",-0.0205431842648784
"held",-0.0201790477382313
"#oil",-0.0201388563689749
"walter",-0.020068747128951
"pictures",-0.0200617762135557
"leads",-0.0199251267853276
"truck",-0.0198700575286203
"deserved",-0.0198469405755395
"severe",-0.0196213787279073
"historic",-0.0194799606485077
"losing",-0.0179793732174921
"remembrance",-0.0174894628322066
"outside",-0.0173873575094782
"wisconsin",-0.0171749393408346
"investigation",-0.0171727752120842
"support!",-0.0169499390726555
"generations",-0.0168992378976748
"@usedgov",-0.0167079151500356
"air",-0.0163890060784661
"@senatorsanders",-0.0160259567824552
"children",-0.0159364000847244
"smart",-0.0151990430862554
"efforts",-0.0149953270356042
"saddened",-0.0147696722706577
"loans",-0.0146309974239009
"secretary",-0.0145473168739753
"create",-0.0140500731047256
"table.",-0.0138455668199937
"communities.",-0.0126694569109185
"people.",-0.0125951612881336
"research",-0.0120510112804216
"honor",-0.0116211693820649
"flr",-0.0115369611814527
"day!",-0.0114900761005339
"association",-0.0114547589153801
"talks",-0.0110712041311756
"$4b",-0.0106171677456169
"5pm",-0.010216109448041
"starts",-0.0100996525733037
"email",-0.0100933075293629
"hearing:",-0.00992706726728207
"sec.",-0.00983660803347022
