"lastname","state","firstname","middlename","title","party.x","gender.x","twitter_id","first.name","district","party.y","gender.y","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label"
"Guinta","NH","Frank","","Rep","R","M","frankguinta","Frank",1,"R","M","G000570",NA,14,0.862858713546469,0.719654079202981,0.98907385680919,"Guinta (R NH-1)"
"Gutierrez","IL","Luis","V.","Rep","D","M","repgutierrez","Luis",4,"D","M","G000535",29348,63,-1.2027954888248,-1.38220290860853,-1.01671793625575,"Gutierrez (D IL-4)"
"Hanabusa","HI","Colleen","","Rep","D","F","colleenhanabusa","Colleen",1,"D","F","H001050",NA,13,-1.12903246847603,-1.30376420844874,-0.958587412788068,"Hanabusa (D HI-1)"
"Hanna","NY","Richard","","Rep","R","M","RepRichardHanna","Richard",24,"R","M","H001051",NA,31,0.295133838076945,0.198101764145846,0.400003181869384,"Hanna (R NY-24)"
"Harman","CA","Jane","","Rep","D","F","RepJaneHarman","Jane",36,"D","F","H000213",29318,606,-0.808833248678956,-1.09043721453057,-0.552883569450873,"Harman (D CA-36)"
"Harper","MS","Gregg","","Rep","R","M","GreggHarper","Gregg",3,"R","M","H001045",NA,8,0.784582412448076,0.651957668737605,0.906736651050652,"Harper (R MS-3)"
"Hartzler","MO","Vicky","","Rep","R","F","RepHartzler","Vicky",4,"R","F","H001053",NA,6,0.976454056212615,0.82999868486825,1.11339736289255,"Hartzler (R MO-4)"
"Hayworth","NY","Nan","","Rep","R","F","RepNanHayworth","Nan",19,"R","F","H001054",NA,7,0.510605912079394,0.39033010451549,0.61680501266761,"Hayworth (R NY-19)"
"Heck","NV","Joe","","Rep","R","M","heck4nevada","Joe",3,"R","M","H001055",NA,4,0.503245942505027,0.391132460061815,0.622106042093912,"Heck (R NV-3)"
"Heller","NV","Dean","","Rep","R","M","DeanHeller","Dean",2,"R","M","H001041",20730,404,0.816137900796488,0.638952627900015,1.0270662392371,"Heller (R NV-2)"
"Hensarling","TX","Jeb","","Rep","R","M","RepHensarling","Jeb",5,"R","M","H001036",20352,6,1.40439583191717,1.18408247231611,1.61580066153401,"Hensarling (R TX-5)"
"Herrera","WA","Jaime","","Rep","R","F","herrerabeutler","Jaime",3,"R","F","H001056",NA,11,0.613518050222573,0.487959088638885,0.732313783526797,"Herrera Beutler (R WA-3)"
"Higgins","NY","Brian","M.","Rep","D","M","RepBrianHiggins","Brian",27,"D","M","H001038",20519,15,-0.970222010539152,-1.12181336346133,-0.816421252540837,"Higgins (D NY-27)"
"Himes","CT","Jim","","Rep","D","M","jahimes","Jim",4,"D","M","H001047",NA,8,-0.741521038877962,-0.861657238441388,-0.622174911865729,"Himes (D CT-4)"
"Hinchey","NY","Maurice","D.","Rep","D","M","mauricehinchey","Maurice",22,"D","M","H000627",29380,212,-1.36136752453674,-1.58334998445303,-1.12215690885469,"Hinchey (D NY-22)"
"Hinojosa","TX","Ruben","E.","Rep","D","M","USRepRHinojosa","Rubén",15,"D","M","H000636",29763,98,-0.609023899662629,-0.736341407768854,-0.501361735291067,"Hinojosa (D TX-15)"
"Hirono","HI","Mazie","K.","Rep","D","F","maziehirono","Mazie",2,"D","F","H001042",20713,32,-1.48178279417938,-1.70841133177997,-1.25356449534385,"Hirono (D HI-2)"
"Holden","PA","Tim","","Rep","D","M","RepTimHolden","Tim",17,"D","M","H000712",29396,51,-0.286309920782016,-0.386416678648291,-0.194465979725783,"Holden (D PA-17)"
"Holt","NJ","Rush","D.","Rep","D","M","rushholt","Rush",12,"D","M","H001032",29923,6,-1.35380665420023,-1.55985895369388,-1.160143852642,"Holt (D NJ-12)"
"Honda","CA","Michael","M.","Rep","D","M","RepMikeHonda","Michael",15,"D","M","H001034",20103,29,-1.58397783488506,-1.83994692880519,-1.33475495854565,"Honda (D CA-15)"
"Hoyer","MD","Steny","H.","Rep","D","M","leaderhoyer","Steny",5,"D","M","H000874",14873,47,-1.02663519353445,-1.19364377804358,-0.880346414720141,"Hoyer (D MD-5)"
"Huelskamp","KS","Tim","","Rep","R","M","conghuelskamp","Tim",1,"R","M","H001057",NA,6,1.07836835878877,0.910938821722349,1.22234282045527,"Huelskamp (R KS-1)"
"Huizenga","MI","Bill","","Rep","R","M","rephuizenga","Bill",2,"R","M","H001058",NA,8,1.14065745029725,0.98352532303215,1.30015063450705,"Huizenga (R MI-2)"
"Hultgren","IL","Randy","","Rep","R","M","randyhultgren","Randy",14,"R","M","H001059",NA,7,0.804663076083263,0.670562351953725,0.932983532498449,"Hultgren (R IL-14)"
"Hurt","VA","Robert","","Rep","R","M","RepRobertHurt","Robert",5,"R","M","H001060",NA,17,1.09708866296652,0.934318138853571,1.25339289170423,"Hurt (R VA-5)"
