"last.name","first.name","state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label"
"Green","Gene","TX","29","D","M","G000410","39304",27,-0.385908697916728,-0.48757072356043,-0.289292134485395,"Green (D TX-29)"
"Green","Al","TX","9","D","M","G000553","20529",14,-0.662321043623978,-0.77108812481407,-0.541259282506247,"Green (D TX-9)"
"Griffin","Tim","AR","2","R","M","G000567",NA,6,0.838710606772909,0.704431318098876,0.968035929248571,"Griffin (R AR-2)"
"Griffith","Morgan","VA","9","R","M","G000568",NA,22,0.845333688203912,0.720746105533614,0.971850699394364,"Griffith (R VA-9)"
"Grijalva","Raúl","AZ","7","D","M","G000551","20305",40,-1.31804452584412,-1.51767972853021,-1.12339100626139,"Grijalva (D AZ-7)"
"Grimm","Mike","NY","13","R","M","G000569",NA,6,0.441833498746823,0.328339646701515,0.546193928529956,"Grimm (R NY-13)"
"Guinta","Frank","NH","1","R","M","G000570",NA,14,0.862858713546469,0.719654079202981,0.98907385680919,"Guinta (R NH-1)"
"Guthrie","Brett","KY","2","R","M","G000558",NA,7,0.724888928033113,0.594787041189541,0.850683127623528,"Guthrie (R KY-2)"
"Gutierrez","Luis","IL","4","D","M","G000535","29348",63,-1.2027954888248,-1.38220290860853,-1.01671793625575,"Gutierrez (D IL-4)"
"Hahn","Janice","CA","36","D","F","H001063",NA,603,-1.44619413657371,-2.00994733963955,-0.902235815045755,"Hahn (D CA-36)"
"Hall","Ralph","TX","4","R","M","H000067","14828",15,0.937746730082536,0.801557388326098,1.08284916009158,"Hall (R TX-4)"
"Hanabusa","Colleen","HI","1","D","F","H001050",NA,13,-1.12903246847603,-1.30376420844874,-0.958587412788068,"Hanabusa (D HI-1)"
"Hanna","Richard","NY","24","R","M","H001051",NA,31,0.295133838076945,0.198101764145846,0.400003181869384,"Hanna (R NY-24)"
"Harman","Jane","CA","36","D","F","H000213","29318",606,-0.808833248678956,-1.09043721453057,-0.552883569450873,"Harman (D CA-36)"
"Harper","Gregg","MS","3","R","M","H001045",NA,8,0.784582412448076,0.651957668737605,0.906736651050652,"Harper (R MS-3)"
"Harris","Andy","MD","1","R","M","H001052",NA,7,0.632637651566586,0.513333313426812,0.742589830174198,"Harris (R MD-1)"
"Hartzler","Vicky","MO","4","R","F","H001053",NA,6,0.976454056212615,0.82999868486825,1.11339736289255,"Hartzler (R MO-4)"
"Hastings","Alcee","FL","23","D","M","H000324","29337",8,-1.27343839628789,-1.45166770185504,-1.06594337501292,"Hastings (D FL-23)"
"Hastings","Doc","WA","4","R","M","H000329","29580",92,0.782552907099441,0.645751002013839,0.904921966298103,"Hastings (R WA-4)"
"Hayworth","Nan","NY","19","R","F","H001054",NA,7,0.510605912079394,0.39033010451549,0.61680501266761,"Hayworth (R NY-19)"
"Heck","Joe","NV","3","R","M","H001055",NA,4,0.503245942505027,0.391132460061815,0.622106042093912,"Heck (R NV-3)"
"Heinrich","Martin","NM","1","D","M","H001046",NA,24,-0.729536928269019,-0.851880455091071,-0.608293850245811,"Heinrich (D NM-1)"
"Heller","Dean","NV","2","R","M","H001041","20730",404,0.816137900796488,0.638952627900015,1.0270662392371,"Heller (R NV-2)"
"Hensarling","Jeb","TX","5","R","M","H001036","20352",6,1.40439583191717,1.18408247231611,1.61580066153401,"Hensarling (R TX-5)"
"Herger","Wally","CA","2","R","M","H000528","15419",18,1.21646455136205,1.03437911082292,1.38092216671235,"Herger (R CA-2)"
"Herrera Beutler","Jaime","WA","3","R","F","H001056",NA,11,0.613518050222573,0.487959088638885,0.732313783526797,"Herrera Beutler (R WA-3)"
"Higgins","Brian","NY","27","D","M","H001038","20519",15,-0.970222010539152,-1.12181336346133,-0.816421252540837,"Higgins (D NY-27)"
"Himes","Jim","CT","4","D","M","H001047",NA,8,-0.741521038877962,-0.861657238441388,-0.622174911865729,"Himes (D CT-4)"
"Hinchey","Maurice","NY","22","D","M","H000627","29380",212,-1.36136752453674,-1.58334998445303,-1.12215690885469,"Hinchey (D NY-22)"
"Hinojosa","Rubén","TX","15","D","M","H000636","29763",98,-0.609023899662629,-0.736341407768854,-0.501361735291067,"Hinojosa (D TX-15)"
