"lastname","state","firstname","middlename","title","party.x","gender.x","twitter_id","first.name","party.y","gender.y","nameid","icpsr.id","class","next.election","missingVotes","idealPoint","lo","up","label"
"Schumer","NY","Charles","E.","Sen","D","M","chuckschumer","Charles","D","M","S000148",14858,"Class III",2016,8,-1.49986136459558,-2.0855341704659,-0.879846711939366,"Schumer (D-NY)"
"Sessions","AL","Jefferson","B.","Sen","R","M","SenatorSessions","Jeff","R","M","S001141",49700,"Class II",2014,0,1.22627756543305,0.931868941193079,1.55086173295967,"Sessions (R-AL)"
"Shaheen","NH","Jeanne","","Sen","D","F","JeanneShaheen","Jeanne","D","F","S001181",NA,"Class II",2014,0,-0.62268794003616,-0.899810304919236,-0.362601449500865,"Shaheen (D-NH)"
"Snowe","ME","Olympia","Jean","Sen","R","F","SenatorSnowe","Olympia","R","F","S000663",14661,"Class I",2012,0,0.4052638264094,0.206411424359916,0.611288797549421,"Snowe (R-ME)"
"Stabenow","MI","Debbie","Ann","Sen","D","F","StabenowPress","Debbie","D","F","S000770",29732,"Class I",2012,0,-0.809865012559146,-1.13195445127409,-0.510848700883945,"Stabenow (D-MI)"
"Toomey","PA","Patrick","","Sen","R","M","SenToomey","Patrick","R","M","T000461",29935,"Class III",2016,2,1.21900349333956,0.929651574907153,1.53502194926936,"Toomey (R-PA)"
"Udall","CO","Mark","E.","Sen","D","M","MarkUdall","Mark","D","M","U000038",29906,"Class II",2014,0,-0.536544301486453,-0.815923998539797,-0.309361285469325,"Udall (D-CO)"
"Udall","NM","Tom","S.","Sen","D","M","SenatorTomUdall","Tom","D","M","U000039",29924,"Class II",2014,7,-1.15850120966216,-1.65946688750368,-0.663869581202395,"Udall (D-NM)"
"Vitter","LA","David","B.","Sen","R","M","DavidVitter","David","R","M","V000127",29918,"Class III",2016,7,1.43550384518728,1.10701833029131,1.76588184309314,"Vitter (R-LA)"
"Warner","VA","Mark","R.","Sen","D","M","MarkWarner","Mark","D","M","W000805",NA,"Class II",2014,5,-0.608108580489305,-0.92801518948639,-0.310180624179933,"Warner (D-VA)"
"Wicker","MS","Roger","F.","Sen","R","M","rogerwicker","Roger","R","M","W000437",29534,"Class I",2012,2,0.912771213763106,0.649458965950107,1.20776410103872,"Wicker (R-MS)"
