"last.name","first.name","state","party","gender","nameid","icpsr.id","class","next.election","missingVotes","idealPoint","lo","up","label"
"Sanders","Bernard","VT","I","M","S000033","15836","Class I","2012",4,-0.90650284858246,-1.28516900277173,-0.539162398884166,"Sanders (I-VT)"
"Schumer","Charles","NY","D","M","S000148","14858","Class III","2016",8,-1.49986136459558,-2.0855341704659,-0.879846711939366,"Schumer (D-NY)"
"Sessions","Jeff","AL","R","M","S001141","49700","Class II","2014",0,1.22627756543305,0.931868941193079,1.55086173295967,"Sessions (R-AL)"
"Shaheen","Jeanne","NH","D","F","S001181",NA,"Class II","2014",0,-0.62268794003616,-0.899810304919236,-0.362601449500865,"Shaheen (D-NH)"
"Shelby","Richard","AL","R","M","S000320","14659","Class III","2016",1,0.845296594172528,0.556527985525068,1.08879040147652,"Shelby (R-AL)"
"Snowe","Olympia","ME","R","F","S000663","14661","Class I","2012",0,0.4052638264094,0.206411424359916,0.611288797549421,"Snowe (R-ME)"
"Stabenow","Debbie","MI","D","F","S000770","29732","Class I","2012",0,-0.809865012559146,-1.13195445127409,-0.510848700883945,"Stabenow (D-MI)"
"Tester","Jon","MT","D","M","T000464","40702","Class I","2012",2,-0.431818724584542,-0.658352290646379,-0.201967516018001,"Tester (D-MT)"
"Thune","John","SD","R","M","T000250","29754","Class III","2016",0,0.792640558154204,0.529824302065523,1.0638020888819,"Thune (R-SD)"
"Toomey","Patrick","PA","R","M","T000461","29935","Class III","2016",2,1.21900349333956,0.929651574907153,1.53502194926936,"Toomey (R-PA)"
"Udall","Mark","CO","D","M","U000038","29906","Class II","2014",0,-0.536544301486453,-0.815923998539797,-0.309361285469325,"Udall (D-CO)"
"Udall","Tom","NM","D","M","U000039","29924","Class II","2014",7,-1.15850120966216,-1.65946688750368,-0.663869581202395,"Udall (D-NM)"
"Vitter","David","LA","R","M","V000127","29918","Class III","2016",7,1.43550384518728,1.10701833029131,1.76588184309314,"Vitter (R-LA)"
"Warner","Mark","VA","D","M","W000805",NA,"Class II","2014",5,-0.608108580489305,-0.92801518948639,-0.310180624179933,"Warner (D-VA)"
"Webb","Jim","VA","D","M","W000803","40706","Class I","2012",3,-0.532295980245549,-0.782168349662819,-0.266574681650916,"Webb (D-VA)"
"Whitehouse","Sheldon","RI","D","M","W000802","40704","Class I","2016",1,-1.22183939143238,-1.71607067529304,-0.746855481192165,"Whitehouse (D-RI)"
"Wicker","Roger","MS","R","M","W000437","29534","Class I","2012",2,0.912771213763106,0.649458965950107,1.20776410103872,"Wicker (R-MS)"
"Wyden","Ron","OR","D","M","W000779","14871","Class III","2016",0,-0.954661077232256,-1.36732511762096,-0.605378967256366,"Wyden (D-OR)"
