lastname,firstname,middlename,title,party,state,gender,twitter_id
McMorris-Rodgers,Cathy,,Rep,R,WA,F,cathymcmorris
McNerney,Gerald,,Rep,D,CA,M,jerrymcnerney
Meehan,Patrick,,Rep,R,PA,M,patmeehanpa
Meeks,Gregory,W.,Rep,D,NY,M,GregoryMeeks
Menendez,Robert,,Sen,D,NJ,M,SenatorMenendez
Merkley,Jeffery,A.,Sen,D,OR,M,SenJeffMerkley
Michaud,Michael,H.,Rep,D,ME,M,RepMikeMichaud
Mikulski,Barbara,A.,Sen,D,MD,F,senatorbarb
Miller,Candice,S.,Rep,R,MI,F,CandiceMiller
Miller,Gary,G.,Rep,R,CA,M,repgarymiller
Miller,George,,Rep,D,CA,M,askgeorge
Miller,Jeff,,Rep,R,FL,M,CongJeffMiller
Moore,Gwendolynne,S.,Rep,D,WI,F,RepGwenMoore
Moran,James,P.,Rep,D,VA,M,Jim_Moran
Moran,Jerry,,Sen,R,KS,M,JerryMoran
Mulvaney,John ,Michael,Rep,R,SC,M,mickmulvaney
Murkowski,Lisa,A.,Sen,R,AK,F,lisamurkowski
Murphy,Tim,,Rep,R,PA,M,RepTimMurphy
Myrick,Sue,W.,Rep,R,NC,F,SueMyrick
Napolitano,Grace,Flores,Rep,D,CA,F,gracenapolitano
Nelson,Bill,,Sen,D,FL,M,SenBillNelson
Nelson,E. Benjamin,,Sen,D,NE,M,SenBenNelson
Neugebauer,Randy,,Rep,R,TX,M,RandyNeugebauer
Noem,Kristi,,Rep,R,SD,F,repkristinoem
Norton,Eleanor,Holmes,Del,D,DC,F,EleanorNorton
Nugent,Richard,,Rep,R,FL,M,RepRichNugent
Nunes,Devin,G.,Rep,R,CA,M,devinnunes
Nunnelee,Patrick,Alan,Rep,R,MS,M,AlanNunnelee
Olson,Pete,,Rep,R,TX,M,OlsonPressShop
Owens,Bill,,Rep,D,NY,M,BillOwensNY
Palazzo,Steven,,Rep,R,MS,M,StevenPalazzo
Pallone,Frank,J.,Rep,D,NJ,M,FrankPallone
Paul,Rand,,Sen,R,KY,M,SenRandPaul
Paul,Ronald,Ernest,Rep,R,TX,M,RepRonPaul
Paulsen,Erik,,Rep,R,MN,M,Erik_Paulsen
